id_cc,cultivo,id_campo
270,Administraciones Donar SpA,1
210,TALAGANTE DONAR UNO,1
212,PEONÍAS 2024,1
581,LECHUGA ESCAROLA,1
582,SEMILLERO BUNCHING 2025-2026,1
614,SEMILLERO BRÓCOLI 2025-2026,1
583,PIMENTONES 25-26,1
584,PIMENTONES MT 25/26,1
585,MT-25/26 PIM.ROJO,1
586,MT-25/26 PIM.AMARILLO,1
587,PIMENTONES E1-(PM)-25/26,1
588,E1-(PM)-25/26 PIM.ROJO,1
589,E1-(PM)-25/26 PIM.AMARILLO,1
590,E1-(PM)-25/26 PIM.NARANJO,1
591,E1-(PM)-25/26 PIM.MORADO,1
592,E1-(PM)-25/26 PIM.PEPINO,1
593,PIMENTONES E2-(AL)-25/26,1
594,E2-(AL)-25/26 PIM.ROJO,1
595,E2-(AL)-25/26 PIM.AMARILLO,1
596,E2-(AL)-25/26 PIM.NARANJO,1
597,E2-(AL)-25/26 PIM.MORADO,1
598,PIMENTONES E3-(AL)-25/26,1
599,E3-(AL)-25/26 PIM.ROJO,1
600,E3-(AL)-25/26 PIM.AMARILLO,1
601,E3-(AL)-25/26 PIM.NARANJO,1
602,E3-(AL)-25/26 PIM.MORADO,1
603,PIMENTONES E4-(AL)-25/26,1
604,E4-(AL)-25/26 PIM.ROJO,1
605,E4-(AL)-25/26 PIM.AMARILLO,1
606,E4-(AL)-25/26 PIM.NARANJO,1
607,E4-(AL)-25/26 PIM.MORADO,1
608,PIMENTONES E5-(AL)-25/26,1
609,E4-(AL)-25/26 PIM.ROJO,1
610,E4-(AL)-25/26 PIM.AMARILLO,1
611,E4-(AL)-25/26 PIM.NARANJO,1
612,E4-(AL)-25/26 PIM.MORADO,1
613,ALMÁCIGO BUNCHING 2025-2026,1
615,SEMILLERO BUNCHING 26/27,1
K0133,PROYECTO PIMENTONES,4
K0140,PRUEBA MALLAS NEGRAS,4
401,RIEGO LAS VERTIENTES,2
400,LAS VERTIENTES,2
450,CIRUELOS ISLA DE MAIPO,2
420,CEREZOS ISLA DE MAIPO,2
421,CEREZOS RED PACIFIC 2023,2
422,CEREZOS SWEET ARYANA 2023,2
423,CEREZOS REINIER/LAPINS 2023,2
424,CEREZOS SANTINA 2023,2
425,CEREZOS GLOW + TREAT/LAPINS 2023,2
431,CEREZOS RAINIER 2023,2
432,CEREZOS LAPINS 2023,2
426,CEREZOS GLOW 2023,2
427,CEREZOS TREAT/LAPINS,2
800,SAN VICENTE,3
860,CIRUELOS ADULTOS,3
878,CEREZOS,3
880,CEREZOS 2014,3
881,LAPINS 2014,3
883,SANTINA 2014,3
879,CEREZOS 2015,3
884,LAPINS 2015,3
882,RAINIER 2015,3
890,CEREZOS 2018,3
894,IVU 115,3
895,SANTINA 2018,3
896,LAPINS 2018,3
897,CEREZOS 2019,3
891,LAPINS 2019,3
892,SANTINA 2019,3
899,SANTINA 2020,3
870,GLOW + TREAT/LAPINS 2024,3
K0002,INNOVACIÓN Y DESARROLLO,4
K0001,KONTROLAG,4
K0101,PROYECTO LOS ALMENDROS,4
K0120,ENSAYOS KONTROLAG,4
K0122,PUERTAS Y PERIMETRO AGRICOLA BP,4
K0123,KONTROLAG CORFO,4
K0124,AGRÍCOLA VENTOLERA,4
K0125,LOS MOSTOS,4
806,INNOVACIÓN Y DESARROLLO,3
808,ENSAYO DE KIWIS,3
