id_labor,nombre,tipo,valor_c_operador_lunes_viernes,valor_s_operador_lunes_viernes,valor_c_Operador_lunes_sabado,valor_s_operador_lunes_sabado
1.1,"PREPARACIÓN SUELO ( arado, rastra, pala de cola )",Operacional,,,,
1.2,PLANTACIÓN/SIEMBRA MANUAL,Operacional,,,,
1.3,1.3-REPLANTE,Operacional,,,,
1.4,TRAZADO DE PLANTACIÓN,Operacional,,,,
2.1,[2.1]AMARRA,Operacional,,,,
2.2,DESPUNTE /DESBROTE,Operacional,,,,
2.3,ESTRUCTURA,Operacional,,,,
2.4,POSTURA DE TUTORES / PROTECTOR,Operacional,,,,
2.5,SACAR AMARRA / TUTORES,Operacional,,,,
2.6,INCISIÓN,Operacional,,,,
3.1,APILAR PODA,Operacional,,,,
3.2,CONTEO,Operacional,,,,
3.3,DESYEME,Operacional,,,,
3.4,PICAR PODA,Operacional,,,,
3.5,PODA,Operacional,,,,
3.6,PODA MECÁNICA,Operacional,,,,
4.1,APLIC FOLIAR TURBO,Operacional,,,,
4.2,APLIC  MANUAL FOLIAR ( bomba espalada),Operacional,,,,
4.3,FERTLIZACION GUANO,Operacional,,,,
4.4,PINTURA DE TRONCO,Operacional,,,,
5.1,APLIC  MANUAL HERBICIDA ( bomba espalada),Operacional,,,,
5.2,APLIC HERBICIDA MAQ,Operacional,,,,
5.3,CONTROL DE MALEZA  MANUAL,Operacional,,,,
5.4,CONTROL DE MALEZA  MECÁNICA,Operacional,,,,
5.5,MOTOSIERRA-DESBROZADORA,Operacional,,,,
5.6,PASAR RANA,Operacional,,,,
6.1,CALICATAS,Operacional,,,,
6.2,CASETERO,Operacional,,,,
6.3,CORRER MANGUERAS,Operacional,,,,
6.4,DESAGUE,Operacional,,,,
6.5,INSTALACION RIEGO,Operacional,,,,
6.6,"MANTENCION RIEGO (motores, válvulas, canales, arenador, tranque, pozo)",Operacional,,,,
6.7,RIEGO,Operacional,,,,
6.8,TIRAR Y/O RETIRAR MANGUERAS,Operacional,,,,
7.1,CONTROL HELADAS,Operacional,,,,
7.2,INSTALACION PLÁSTICO,Operacional,,,,
7.3,APERTURA /CERRADO TECHOS,Operacional,,,,
7.4,MANTENCIÓN TECHOS,Operacional,,,,
7.5,CONSTRUCCIÓN MACROTÚNELES,Operacional,,,,
8.1,ASEO Y ORNATO,Operacional,,,,
8.2,"CONSTRUCCIÓN INFRAESTRUCTURA ( caminos, cercos, puentes)",Operacional,,,,
8.3,"MANTENCIÓN INFRAESTRUCTURA ( caminos, cercos, puentes)",Operacional,,,,
8.4,MOJAR CAMINOS,Operacional,,,,
8.5,CARGA- DESCARGA CAMION,Operacional,,,,
8.6,MANTENCION MAQUINARIAS,Operacional,,,,
8.7,DIA DE LLUVIA,Operacional,,,,
8.8,VIGILANCIA,Operacional,,,,
9.1,SUPERVISOR HUERTO,Operacional,,,,
12.1,CONTROL CALIDAD COSECHA ,Operacional,,,,
12.2,[12.2]COSECHA MANUAL,Operacional,,,,
12.4,SUPERVISOR COSECHA,Operacional,,,,
12.5,DESPACHO COSECHA ,Operacional,,,,
12.8,OPERADOR GRUA COSECHA,Operacional,,,,
12.7,ACARREO COSECHA,Operacional,,,,
6.9,AFOROS DE GOTEROS Y MEDICIÓN DE PRESIONES,Operacional,,,,
8.9,ACARREO,Operacional,,,,
7.6,HUMIDIFICACIÓN,Operacional,,,,
10.1,CAPACITACIÓN,Operacional,,,,
8.10,TALLER Y BODEGA,Operacional,,,,
7.7,7.7-INSTALACIÓN PUERTAS Y PERÍMETROS,Operacional,,,,
14.1,ESTACADO,Operacional,,,,
14.2,RECEPCIÓN MÁQUINA CURVADORA,Operacional,,,,
14.3,RECEPCIÓN CONTENEDORES DE FIERROS,Operacional,,,,
14.4,REPARTICIÓN POSTES,Operacional,,,,
14.5,POSTURA DE POSTES CON TALADRO,Operacional,,,,
14.6,"HOYADURAS PARA PILARES, ANCLAS Y POSTES DE PUNTAS",Operacional,,,,
14.7,HOYADURAS PARA PIE DERECHOS,Operacional,,,,
14.8,"HOYADURAS PARA PILARES, ANCLAS Y POSTES DE PUNTAS",Operacional,,,,
14.9,CURVADO DE ARCOS,Operacional,,,,
14.10,POSTURA POSTES C/CEMENTO,Operacional,,,,
14.11,POSTURA PIE DERECHOS,Operacional,,,,
14.12,TRASLADO Y REPARTICIÓN DE ARCOS,Operacional,,,,
14.13,14.13-POSTURA ABRAZADERA EN ARCOS. CADENAS. LATICE. ROLDANAS LATERALES Y DE PASO,Operacional,,,,
14.14,POSTURA ARCOS + ESCALADORES,Operacional,,,,
14.15,14.15-POSTURA CERCHAS Y PUNTALES DE FIJACIÓN,Operacional,,,,
14.16,14.16-POSTURA CANALES ALUMINIO,Operacional,,,,
14.17,14.17-PREPARACIÓN LATICES,Operacional,,,,
14.18,14.18-POSTURA CRUCETAS,Operacional,,,,
14.19,"POSTURA PIOLAS LONGITUDINAL, ABRAZADERS DE POSTES Y TENSADO",Operacional,,,,
14.20,14.20-NIVELAR Y APRETAR ABRAZADERAS LONGITUDINALES,Operacional,,,,
14.21,14.21-POSTURA PUNTALES Y CUMBRERA,Operacional,,,,
14.22,14.22-POSTURA AUTOPERFORANTES,Operacional,,,,
14.23,14.23-POSTURA PIOLA PARRÓN. ABRAZADERAS Y TENSADO,Operacional,,,,
14.24,14.24-NIVELAR Y APRETAR ABRAZADERAS PARRÓN,Operacional,,,,
14.25,14.25-REPARTIR. ABRIR. FLAMEAR. TENSAR. CLIPEAR Y FIJAR PLÁSTICO,Operacional,,,,
14.26,14.26-CUERDAS DE SEGURIDAD,Operacional,,,,
14.27,14.27-ENCORDADO,Operacional,,,,
14.28,14.28-POSTURA PIOLA. TOPE. GOLILLA Y DESTORCEDOR CUMBRERA,Operacional,,,,
14.29,14.29-POSTURA PIOLAS ANCLAS DE PUNTAS,Operacional,,,,
14.30,14.30-POSTURA ROLDANA PILARES,Operacional,,,,
14.31,14.31-POSTURA REDUCTORES Y ARMADO,Operacional,,,,
14.32,14.32-TENSADO PIOLA VENTILACIÓN,Operacional,,,,
14.33,POSTURA CONTRAPESOS,Operacional,,,,
14.34,REGULACIÓN ESCALADORES,Operacional,,,,
14.35,14.35-POSTURA TIRANTES DE ARCOS A PILARES,Operacional,,,,
14.36,14.36-REVISIÓN. CHEQUEO Y ENTREGA,Operacional,,,,
4.5,SUMERGIR PLANTAS,Operacional,,,,
4.6,INSTALACIÓN CONFUSOR SEXUAL/TRAMPA INSECTO,Operacional,,,,
4.7,MONITOREO DE ESTADOS FENOLÓGICOS,Operacional,,,,
4.8,MONITOREO DE CONTROL DE PLAGAS,Operacional,,,,
1.7,DESCARTE DE PLANTAS,Operacional,,,,
7.9,POSTURA COLOR UP,Operacional,,,,
1.6,PLANTACIÓN/SIEMBRA MECANIZADA,Operacional,,,,
1.5,VIVERO / BARBECHO (labor Rem.),Operacional,,,,
3.7,3.7 RALEO,Operacional,,,,
1.8,1.8 INJERTO,Operacional,,,,
7.8,INSTALACIÓN DE MALLAS,Operacional,,,,
11.1,ADMINISTRACIÓN Y OPERACIÓN,Operacional,,,,
11.2,Jornada Tractor,Tractorista ,$66.000,$27.600,$55.000,$23.000
11.3,Jornada Tractor(con carnet),Tractorista ,$72.000,$33.600,$61.000,$29.000
11.4,Jornada Tractor + Carro,Tractorista ,$74.000,$35.600,$63.000,$31.000
11.5,Jornada Tractor + Barra + Carro,Tractorista ,$80.000,$41.600,$69.000,$37.000
11.6,Jornada Tractor Bomba Riego,Tractorista ,$25.000,$25.000,$25.000,$25.000
11.7,Barra,Tractorista ,$6.000,$6.000,$6.000,$6.000
11.8,Carro,Tractorista ,$8.000,$8.000,$8.000,$8.000
11.9,Yale,Tractorista ,$80.000,$80.000,$80.000,$80.000
11.10,Desbrozadora,Tractorista ,$9.000,$9.000,$9.000,$9.000
11.11,Hora Extra,Tractorista ,$3.000,$2.500,$3.000,$2.500
11.12,Labor Extraordinaria,Tractorista ,$10.000,$10.000,$10.000,$10.000
11.13,Bono mensual,Operacional,,,,
